Order in the DSM-5,DSM-5 Chapter,DSM-5 Disorder,Constituent symptom (wording from DSM-5),Unique symptom number (index for duplicate symptoms; sort by this column to see the groups of symptoms that have been coded as redundant),"Specifier ( 0 = primary diagnosis, 1 = specifier)","Repeats at all (0 = no, 1 = yes)","Repeats within a chapter (0=no, 1=yes)",Number of diagnoses symptom appears in (count),"Repeats between chapters (0=no, 1=yes)",Number of chapters symptom appears in (count)
1,Ch1 - Neurodevelopmental Disorders,Language Disorder,Reduced vocabulary (word knowledge and use),653,0,0,0,1,0,1
2,Ch1 - Neurodevelopmental Disorders,Language Disorder,Limited sentence structure (ability to put words and word endings together to form sentences based on the rules of grammar and morphology),27,0,0,0,1,0,1
3,Ch1 - Neurodevelopmental Disorders,Language Disorder,Impairments in discourse (ability to use vocabulary and connect sentences to explain or describe a topic or series of events or have a conversation),28,0,1,1,2,0,1
4,Ch1 - Neurodevelopmental Disorders,Speech Sound Disorder,Persistent difficulty with speech sound production,29,0,0,0,1,0,1
5,Ch1 - Neurodevelopmental Disorders,Speech Sound Disorder,Difficulty with speech inteligbility,619,0,0,0,1,0,1
6,Ch1 - Neurodevelopmental Disorders,Speech Sound Disorder,Difficulty with verbal communication of messages,228,0,1,1,3,1,2
7,Ch1 - Neurodevelopmental Disorders,Childhood-Onset Fluency Disorder (Stuttering),"Sound and syllable repetitions; Sound prolongations of consonants as well as vowels; Broken words (eg, pauses within a word); Audible or silent blocking (filled or unfilled pauses in speech); Monosyllabic whole-word repetitions (eg, “I-I-I-I see him”); Words produced with an excess of physical tension",256,0,0,0,1,0,1
8,Ch1 - Neurodevelopmental Disorders,Childhood-Onset Fluency Disorder (Stuttering),Circumlocutions (word substitutions to avoid problematic words),30,0,0,0,1,0,1
9,Ch1 - Neurodevelopmental Disorders,Childhood-Onset Fluency Disorder (Stuttering),Anxiety about speaking,217,0,1,0,2,1,2
10,Ch1 - Neurodevelopmental Disorders,Social (Pragmatic) Communication Disorder,Deficits in using communication for social purposes (such as greetings and sharing information) in a manner that is appropriate for the social context,31,0,0,0,1,0,1
11,Ch1 - Neurodevelopmental Disorders,Social (Pragmatic) Communication Disorder,"Impairment of the ability to change communication to match context or the needs of the listener, such as speaking differently in a classroom than on a playground, talking differently to a child than to an adult, and avoiding use of overly formal language",32,0,0,0,1,0,1
12,Ch1 - Neurodevelopmental Disorders,Social (Pragmatic) Communication Disorder,"Difficulty following rules for conversation and storytelling (such as taking turns in conversation, rephrasing when misunderstood, and knowing how to use verbal and nonverbal signals to regulate interaction)",33,0,0,0,1,0,1
13,Ch1 - Neurodevelopmental Disorders,Social (Pragmatic) Communication Disorder,Difficulties understanding what is not explicitly stated (eg making inferences),34,0,0,0,1,0,1
14,Ch1 - Neurodevelopmental Disorders,Social (Pragmatic) Communication Disorder,"Difficulties understanding nonliteral or ambiguous meanings of language (eg, idioms, humor, metaphors, multiple meanings that depend on the context for interpretation)",35,0,0,0,1,0,1
15,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,Abnormal social approach,257,0,0,0,1,0,1
16,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,Failure of normal back-and-forth conversation,641,0,0,0,1,0,1
17,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,"Reduced sharing of interests, emotions, or affect",258,0,0,0,1,0,1
18,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,Failure to initiate or respond to social interactions,259,0,0,0,1,0,1
19,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,Poorly integrated verbal and nonverbal communication,36,0,0,0,1,0,1
20,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,Abnormalities in eye contact and body language,260,0,0,0,1,0,1
21,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,Deficits in understanding and use of gestures,37,0,0,0,1,0,1
22,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,A total lack of facial expressions and nonverbal communication,38,0,0,0,1,0,1
23,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,Difficulties adjusting behavior to suit various social contexts,39,0,0,0,1,0,1
24,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,Difficulties in making friends,261,0,0,0,1,0,1
25,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,Absence of interest in peers,262,0,0,0,1,0,1
26,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,Stereotyped or repetitive motor movements (eg simple motor stereotypies),40,0,1,1,9,1,7
27,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,Stereotyped or repetitive use of objects (eg lining up toys or flipping objects),263,0,0,0,1,0,1
28,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,"Stereotyped or repetitive speech (eg echolalia, idiosyncratic phrases)",645,0,1,1,3,1,2
29,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,"Insistence on sameness (eg extreme distress at small changes, rigid thinking patterns)",264,0,1,0,2,1,2
30,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,"Inflexible adherence to routines (eg difficulties with transitions, rigid thinking patterns)",656,0,0,0,1,0,1
31,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,"Ritualized patterns of verbal behavior (eg greeting rituals, rigid thinking patterns)",266,0,0,0,1,0,1
32,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,"Ritualized patterns of nonverbal behavior (eg rigid thinking patterns, need to take same route or eat same food every day)",265,0,1,0,3,1,3
33,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,"Highly restricted, fixated interests that are abnormal in intensity or focus (eg, strong attachment to or preoccupation with unusual objects, excessively circumscribed or perseverative interests)",42,0,1,0,2,1,2
34,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,"Hyperreactivity to sensory input (eg, adverse response to specific sounds or textures)",43,0,0,0,1,0,1
35,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,"Hyporeactivity to sensory input (eg, apparent indifference to pain/temperature)",648,0,0,0,1,0,1
36,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder,"Unusual interest in sensory aspects of the environment (eg adverse response to specific sounds or textures, excessive smelling or touching of objects, visual fascination with lights or movement)",45,0,0,0,1,0,1
37,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder - With language impairment,Language impairment: Mutism,289,1,1,1,7,1,5
38,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder - With language impairment,Language impairment: Phrase speech,28,1,1,1,2,0,1
39,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder - With catatonia,Stupor,64,1,1,1,9,1,7
